date_x,score,genre,status,orig_lang,budget_x,revenue,country,names
02/16/2001 ,65.0,"Science Fiction, Family, Comedy, Animation", Released, English,10000000.0,44451470.0,US,Recess: School's Out
06/30/1995 ,58.0,"Action, Adventure, Science Fiction, Fantasy", Released, English,15000000.0,66400000.0,US,Mighty Morphin Power Rangers: The Movie
11/11/2022 ,53.0,"Science Fiction, Horror", Released, English,104050080.0,536903130.0,US,The Friendship Game
12/26/2012 ,59.0,Comedy, Released, English,25000000.0,120832383.0,AU,Parental Guidance
02/27/2014 ,78.0,"Drama, Animation, War, Romance", Released, Japanese,30000000.0,117932401.0,AU,The Wind Rises
08/01/2022 ,56.0,"Western, Mystery", Released, English,111200000.0,278054690.6,AU,Murder at Yellowstone City
05/12/2021 ,73.0,Drama, Released, Korean,71400000.0,751654707.4,KR,My Lovely Angel
03/03/2023 ,62.0,"Romance, Comedy", Released," Spanish, Castilian",178400000.0,324436308.4,US,Love at First Kiss
02/08/2017 ,53.0,Romance, Released, Korean,121400000.0,492196010.4,KR,Young Sister-In-Law 2
12/13/2012 ,74.0,"Family, Animation, Fantasy, Action, Adventure", Released, English,145000000.0,306941670.0,AU,Rise of the Guardians
06/18/1998 ,69.0,"Drama, History", Released, English,28000000.0,5686694.0,AU,Kundun
06/25/2017 ,0.0,, Released, Japanese,167540000.0,175269998.8,JP,DPMI-019 キャンギャル狂想脚 美月恋
12/26/1986 ,72.0,"Animation, Science Fiction, Action, Adventure, Family", Released, English,6000000.0,5849647.0,AU,The Transformers: The Movie
11/04/2022 ,55.0,"Drama, Horror", Released," Spanish, Castilian",2480000.0,1891519.0,ES,13 Exorcisms
05/06/2005 ,76.0,Drama, Released, English,5389600.0,1524966.0,US,Mysterious Skin
05/19/2023 ,0.0,"Drama, Thriller", Released, English,102000000.2,175269998.8,US,Sanctuary
07/19/2003 ,66.0,"Family, Action, Animation, Adventure, Fantasy, Science Fiction", Released, Japanese,8391625.8,334000000.0,JP,Pokémon: Jirachi - Wish Maker
10/20/2022 ,68.0,"Comedy, Romance, Crime", Released, Italian,104700000.0,538260394.4,AU,The Perfect Dinner
01/20/2023 ,56.0,"Action, Crime, Thriller", Released, English,134200000.0,772865923.6,US,Detective Knight: Independence
04/07/2023 ,0.0,"Horror, Thriller", Released, English,183540000.0,175269998.8,US,You’re Killing Me
06/11/2021 ,73.0,"Drama, Music, Romance", Released, English,55000000.0,43646976.0,AU,In the Heights
05/11/2022 ,66.0,"Documentary, Crime", Released, English,88000000.0,540133746.0,US,Our Father
09/12/1996 ,60.0,"Comedy, Drama, Thriller", Released, English,47000000.0,102825796.0,AU,The Cable Guy
03/10/2023 ,72.0,"Family, Comedy, Drama", Released, English,111000000.0,512397898.8,AU,Chang Can Dunk
08/27/2020 ,72.0,"Action, Thriller, Science Fiction", Released, English,205000000.0,360240189.0,AU,Tenet
02/13/2020 ,74.0,"Drama, History, Crime", Released, English,45000000.0,43092210.0,AU,Richard Jewell
10/16/1998 ,76.0,"Romance, Drama", Released, Hindi,153000.0,15306000.0,IN,Kuch Kuch Hota Hai
04/22/2016 ,52.0,"Action, Crime, Thriller", Released, English,10500000.0,100659.0,US,Precious Cargo
09/09/2016 ,67.0,"Drama, Crime, Action", Released, English,10000000.0,150191.0,US,Kicks
05/31/2017 ,50.0,Horror, Released, English,25000000.0,82917283.0,AU,Rings
