date_x,score,genre,status,orig_lang,budget_x,revenue,country,names
02/02/2006 ,71.0,"Drama, Action, History, Thriller", Released, English,75000000.0,131492772.0,AU,Munich
01/18/2009 ,64.0,"Comedy, Crime, Drama, Romance", Released, English,13000000.0,20768906.0,US,I Love You Phillip Morris
01/20/2005 ,59.0,"War, History, Action, Adventure, Drama, Romance", Released, English,155000000.0,167297191.0,AU,Alexander
08/24/2008 ,58.0,Documentary, Released, English,68500000.0,280052393.0,US,9to5: Days in Porn
09/16/2005 ,69.0,"Drama, Comedy, Romance, Fantasy", Released, English,58000000.0,100687083.0,US,Just Like Heaven
12/14/2001 ,78.0,"Comedy, Drama", Released, Hindi,120000000.0,252034622.2,IN,Kabhi Khushi Kabhie Gham
09/13/2001 ,70.0,"Drama, Science Fiction, Adventure", Released, English,100000000.0,235926552.0,AU,A.I. Artificial Intelligence
01/15/1992 ,67.0,"Comedy, Action", Released, Cantonese,10000000.0,8332431.0,HK,Twin Dragons
10/09/1997 ,40.0,"History, Romance", Released, Cantonese,76800000.0,821985126.0,HK,Romance of the West Chamber
12/20/2019 ,72.0,"Action, Drama, History", Released, Cantonese,52000000.0,176345966.0,AU,Ip Man 4: The Finale
12/12/2019 ,68.0,"Family, Comedy", Released, English,29900000.0,69412425.0,AU,Playing with Fire
09/19/1980 ,66.0,Comedy, Released, German,54000000.0,327139851.8,DE,Six Swedish Girls at a Pump
10/24/1985 ,71.0,"Horror, Comedy", Released, English,4000000.0,14238634.0,AU,The Return of the Living Dead
08/06/2018 ,75.0,"Science Fiction, Animation, Action, Drama", Released, English,136000000.0,629637516.0,AU,The Death of Superman
11/28/1969 ,77.0,Western, Released, English,6000000.0,509424.0,AU,The Wild Bunch
05/21/1980 ,84.0,"Adventure, Action, Science Fiction", Released, English,18000000.0,538400000.0,AU,The Empire Strikes Back
01/25/2018 ,10.0,Romance, Released, Korean,201940000.0,38157314.0,KR,An Affair: Kind Daughters-in-law
05/21/2019 ,59.0,Comedy, Released, English,21690000.0,46115383.0,AU,A Madea Family Funeral
10/24/2003 ,71.0,"Crime, Drama", Released, English,3000000.0,10051516.0,US,Elephant
07/14/2016 ,54.0,"Action, Fantasy, Comedy", Released, English,144000000.0,229008658.0,AU,Ghostbusters
01/27/1989 ,67.0,"Comedy, Crime", Released, English,15000000.0,40590000.0,US,Three Fugitives
03/29/1996 ,59.0,"Romance, Animation, Family, Adventure, Fantasy", Released, English,6770000.0,8620678.0,US,All Dogs Go to Heaven 2
06/11/1998 ,72.0,"Crime, Drama, History, Romance", Released, English,65000000.0,438420442.0,AU,Les Misérables
02/12/2021 ,71.0,"Romance, Drama, Western", Released, English,177200000.0,334227586.6,US,The World to Come
08/17/2006 ,72.0,"Comedy, Drama", Released, English,6500000.0,24793509.0,AU,Thank You for Smoking
04/09/2008 ,51.0,"Animation, Family", Released, English,128400000.0,351263672.4,AU,Shark Bait
07/28/2017 ,79.0,Drama, Released, Chinese,124000000.0,517060315.4,TW,Yi Yi
09/23/1988 ,72.0,"Thriller, Horror", Released, English,13000000.0,8038508.0,US,Dead Ringers
12/01/2005 ,65.0,"Horror, Mystery, Thriller", Released, Thai,28600000.0,506597404.6,TH,Art of the Devil 2
09/29/2022 ,59.0,"Horror, Comedy", Released, English,121740000.0,847224095.0,US,My Best Friend's Exorcism
09/14/2018 ,61.0,"Action, Thriller", Released, English,20000000.0,239332447.0,US,Final Score
01/09/2009 ,62.0,"Comedy, Romance", Released, English,30000000.0,115150424.0,AU,Bride Wars
08/17/2000 ,63.0,"Horror, Science Fiction, Thriller", Released, English,35000000.0,104102747.0,US,The Cell
04/09/2023 ,0.0,, Released, English,167540000.0,175269998.8,US,Hen
09/06/2012 ,55.0,"Drama, Romance", Released, Thai,127800000.0,578598408.0,TH,Jan Dara: The Beginning
09/16/2013 ,74.0,"Animation, Science Fiction", Released, Japanese,56300000.0,336786306.2,JP,The Garden of Sinners: Future Gospel
03/04/2010 ,65.0,"Action, Thriller", Released, English,50000000.0,62209892.0,AU,Ninja Assassin
11/18/2005 ,70.0,"Action, Crime, Drama, Thriller", Released, Chinese,125600000.0,327562228.6,HK,SPL: Kill Zone
11/17/2022 ,71.0,"Comedy, Drama", Released," Spanish, Castilian",50600000.0,460177562.0,AU,"BARDO, False Chronicle of a Handful of Truths"
01/04/2007 ,75.0,"Drama, Thriller, Action", Released, English,100000000.0,171377916.0,AU,Blood Diamond
12/06/2019 ,72.0,"Animation, Comedy, Family", Released, English,2100000.0,585443.0,AU,StarDog and TurboCat
08/25/2008 ,65.0,"Drama, Mystery, Science Fiction, Thriller", Released, English,25000000.0,20052958.0,BR,Blindness
07/14/2016 ,68.0,"Comedy, Drama", Released, English,10000000.0,4366460.0,AU,Demolition
12/25/2012 ,70.0,"Action, Drama", Released, Korean,108400000.0,765957562.2,KR,The Tower
11/26/1985 ,62.0,"Adventure, Comedy, Romance", Released, English,17000000.0,49364621.0,AU,National Lampoon's European Vacation
08/15/2013 ,60.0,"Adventure, Family, Fantasy", Released, English,90000000.0,200859554.0,AU,Percy Jackson: Sea of Monsters
02/16/2018 ,63.0,"Drama, Crime, Thriller", Released, English,22000000.0,12967012.0,AU,"Roman J. Israel, Esq."
11/24/1994 ,60.0,"Thriller, Science Fiction, Action, Crime", Released, English,28000000.0,102053581.0,AU,Timecop
07/01/1981 ,65.0,"Adventure, Action, Thriller", Released, English,28000000.0,195300000.0,AU,For Your Eyes Only
12/29/2010 ,60.0,"Adventure, Fantasy, Action", Released, English,40000000.0,22024849.0,AU,Solomon Kane
07/28/2022 ,59.0,Drama, Released, English,88000000.0,503089616.8,AU,The Forgiven
11/12/2021 ,53.0,"Action, Thriller, Science Fiction", Released, English,95400000.0,289928901.0,US,Apex
10/13/2006 ,55.0,"Horror, Thriller", Released, English,20000000.0,70743839.0,US,The Grudge 2
07/15/2021 ,80.0,Comedy, Released," Spanish, Castilian",102200000.0,696582478.0,MX,El mesero
